Staudigel_H2O_wt%                                                                          
           2
T(K)    
   573.00000000000000     
   3.5256410256410255     
         313
P(bar)  
   500.00000000000000     
   286.85897435897436     
         313
           3
T(K)           P(bar)         H2O,wt%       
  573.000        500.000        2.66829     
  576.526        500.000        2.66829     
  580.051        500.000        2.66829     
  583.577        500.000        2.66829     
  587.103        500.000        2.66829     
  590.628        500.000        2.66829     
  594.154        500.000        2.66829     
  597.679        500.000        2.66829     
  601.205        500.000        2.66829     
  604.731        500.000        2.66829     
  608.256        500.000        2.66829     
  611.782        500.000        2.66829     
  615.308        500.000        2.66829     
  618.833        500.000        2.66829     
  622.359        500.000        2.66829     
  625.885        500.000        2.66829     
  629.410        500.000        2.07439     
  632.936        500.000        2.06374     
  636.462        500.000        2.04955     
  639.987        500.000        2.09004     
  643.513        500.000        2.05493     
  647.038        500.000        2.02617     
  650.564        500.000        2.00318     
  654.090        500.000        2.07215     
  657.615        500.000        1.90858     
  661.141        500.000        1.78883     
  664.667        500.000        1.59644     
  668.192        500.000        1.54919     
  671.718        500.000        1.48466     
  675.244        500.000        1.42886     
  678.769        500.000        1.37818     
  682.295        500.000        1.37332     
  685.821        500.000        1.36822     
  689.346        500.000        1.36307     
  692.872        500.000        1.35760     
  696.397        500.000        1.37741     
  699.923        500.000        1.34584     
  703.449        500.000        1.36812     
  706.974        500.000        1.33493     
  710.500        500.000        1.38067     
  714.026        500.000        1.32427     
  717.551        500.000        1.31078     
  721.077        500.000        1.25533     
  724.603        500.000        1.21088     
  728.128        500.000        1.21088     
  731.654        500.000        1.21088     
  735.179        500.000        1.21088     
  738.705        500.000        1.21088     
  742.231        500.000        1.21088     
  745.756        500.000        1.21088     
  749.282        500.000        1.21088     
  752.808        500.000        1.21088     
  756.333        500.000        1.21088     
  759.859        500.000        1.21088     
  763.385        500.000        1.21088     
  766.910        500.000        1.21088     
  770.436        500.000        1.21088     
  773.962        500.000        1.21088     
  777.487        500.000        1.21088     
  781.013        500.000        1.21088     
  784.538        500.000        1.21088     
  788.064        500.000        1.21088     
  791.590        500.000        1.21088     
  795.115        500.000        1.21088     
  798.641        500.000        1.21088     
  802.167        500.000        1.21088     
  805.692        500.000        1.21088     
  809.218        500.000        1.21088     
  812.744        500.000        1.21088     
  816.269        500.000        1.21088     
  819.795        500.000        1.21088     
  823.321        500.000        1.21088     
  826.846        500.000        1.21088     
  830.372        500.000        1.21088     
  833.897        500.000        1.21088     
  837.423        500.000        1.21088     
  840.949        500.000        1.21088     
  844.474        500.000        1.21088     
  848.000        500.000        1.21088     
  851.526        500.000        1.21088     
  855.051        500.000        1.21088     
  858.577        500.000        1.21088     
  862.103        500.000        1.21088     
  865.628        500.000        1.21088     
  869.154        500.000       0.970210     
  872.679        500.000       0.940349     
  876.205        500.000       0.910362     
  879.731        500.000       0.880671     
  883.256        500.000       0.850399     
  886.782        500.000       0.820757     
  890.308        500.000       0.788843     
  893.833        500.000       0.760854     
  897.359        500.000       0.729047     
  900.885        500.000       0.699132     
  904.410        500.000       0.668901     
  907.936        500.000       0.638652     
  911.462        500.000       0.608385     
  914.987        500.000       0.580732     
  918.513        500.000       0.553471     
  922.038        500.000       0.528210     
  925.564        500.000       0.503265     
  929.090        500.000       0.481351     
  932.615        500.000       0.461090     
  936.141        500.000       0.442928     
  939.667        500.000       0.375618     
  943.192        500.000       0.290207     
  946.718        500.000       0.201780     
  950.244        500.000       0.118534     
  953.769        500.000       0.337741E-001
  957.295        500.000        0.00000     
  960.821        500.000        0.00000     
  964.346        500.000        0.00000     
  967.872        500.000        0.00000     
  971.397        500.000        0.00000     
  974.923        500.000        0.00000     
  978.449        500.000        0.00000     
  981.974        500.000        0.00000     
  985.500        500.000        0.00000     
  989.026        500.000        0.00000     
  992.551        500.000        0.00000     
  996.077        500.000        0.00000     
  999.603        500.000        0.00000     
  1003.13        500.000        0.00000     
  1006.65        500.000        0.00000     
  1010.18        500.000        0.00000     
  1013.71        500.000        0.00000     
  1017.23        500.000        0.00000     
  1020.76        500.000        0.00000     
  1024.28        500.000        0.00000     
  1027.81        500.000        0.00000     
  1031.33        500.000        0.00000     
  1034.86        500.000        0.00000     
  1038.38        500.000        0.00000     
  1041.91        500.000        0.00000     
  1045.44        500.000        0.00000     
  1048.96        500.000        0.00000     
  1052.49        500.000        0.00000     
  1056.01        500.000        0.00000     
  1059.54        500.000        0.00000     
  1063.06        500.000        0.00000     
  1066.59        500.000        0.00000     
  1070.12        500.000        0.00000     
  1073.64        500.000        0.00000     
  1077.17        500.000        0.00000     
  1080.69        500.000        0.00000     
  1084.22        500.000        0.00000     
  1087.74        500.000        0.00000     
  1091.27        500.000        0.00000     
  1094.79        500.000        0.00000     
  1098.32        500.000        0.00000     
  1101.85        500.000        0.00000     
  1105.37        500.000        0.00000     
  1108.90        500.000        0.00000     
  1112.42        500.000        0.00000     
  1115.95        500.000        0.00000     
  1119.47        500.000        0.00000     
  1123.00        500.000        0.00000     
  1126.53        500.000        0.00000     
  1130.05        500.000        0.00000     
  1133.58        500.000        0.00000     
